Filepath,Noisy_labels,Label,Label_numeric
aircrafts_original/0/0548719.jpg,53,0,0
aircrafts_original/0/1152266.jpg,93,0,0
aircrafts_original/0/0894380.jpg,22,0,0
aircrafts_original/0/0716386.jpg,90,0,0
aircrafts_original/0/0450014.jpg,85,0,0
aircrafts_original/0/0864665.jpg,2,0,0
aircrafts_original/0/0056978.jpg,27,0,0
aircrafts_original/0/0698580.jpg,39,0,0
aircrafts_original/0/0482761.jpg,93,0,0
aircrafts_original/0/1187431.jpg,40,0,0
aircrafts_original/0/1082409.jpg,22,0,0
aircrafts_original/0/0732410.jpg,26,0,0
aircrafts_original/0/0950991.jpg,44,0,0
aircrafts_original/0/1042824.jpg,39,0,0
aircrafts_original/0/0064933.jpg,51,0,0
aircrafts_original/0/0732667.jpg,25,0,0
aircrafts_original/0/0577855.jpg,79,0,0
aircrafts_original/0/1009831.jpg,76,0,0
aircrafts_original/0/0951982.jpg,62,0,0
aircrafts_original/0/1068565.jpg,36,0,0
aircrafts_original/0/0631897.jpg,54,0,0
aircrafts_original/0/1514484.jpg,0,0,0
aircrafts_original/0/0610657.jpg,28,0,0
aircrafts_original/0/0481847.jpg,29,0,0
aircrafts_original/0/1207591.jpg,63,0,0
aircrafts_original/0/0987261.jpg,29,0,0
aircrafts_original/0/1017179.jpg,0,0,0
aircrafts_original/0/1514481.jpg,0,0,0
aircrafts_original/0/0887066.jpg,0,0,0
aircrafts_original/0/1002439.jpg,0,0,0
aircrafts_original/0/0760910.jpg,0,0,0
aircrafts_original/0/0536511.jpg,0,0,0
aircrafts_original/0/0582363.jpg,0,0,0
aircrafts_original/0/0198101.jpg,0,0,0
aircrafts_original/0/0923884.jpg,0,0,0
aircrafts_original/0/1319365.jpg,0,0,0
aircrafts_original/0/1518652.jpg,0,0,0
aircrafts_original/0/1193587.jpg,0,0,0
aircrafts_original/0/0113201.jpg,0,0,0
aircrafts_original/0/0869692.jpg,0,0,0
aircrafts_original/0/1148180.jpg,0,0,0
aircrafts_original/0/1340192.jpg,0,0,0
aircrafts_original/0/0817494.jpg,0,0,0
aircrafts_original/0/0869722.jpg,0,0,0
aircrafts_original/0/1042021.jpg,0,0,0
aircrafts_original/0/0979376.jpg,0,0,0
aircrafts_original/0/0602177.jpg,0,0,0
aircrafts_original/0/0731614.jpg,0,0,0
aircrafts_original/0/1346004.jpg,0,0,0
aircrafts_original/0/0582372.jpg,0,0,0
aircrafts_original/0/1423583.jpg,0,0,0
aircrafts_original/0/0062781.jpg,0,0,0
aircrafts_original/0/1288661.jpg,0,0,0
aircrafts_original/0/0624128.jpg,0,0,0
aircrafts_original/0/1427680.jpg,0,0,0
aircrafts_original/0/0063435.jpg,0,0,0
aircrafts_original/0/0536721.jpg,0,0,0
aircrafts_original/0/1318819.jpg,0,0,0
aircrafts_original/0/0869742.jpg,0,0,0
aircrafts_original/0/1025794.jpg,0,0,0
aircrafts_original/0/2031775.jpg,0,0,0
aircrafts_original/0/0901498.jpg,0,0,0
aircrafts_original/0/0729223.jpg,0,0,0
aircrafts_original/0/0810608.jpg,0,0,0
aircrafts_original/0/0687610.jpg,0,0,0
aircrafts_original/0/1199327.jpg,0,0,0
aircrafts_original/0/0458781.jpg,0,0,0
aircrafts_original/1/1862134.jpg,29,1,1
aircrafts_original/1/2223757.jpg,43,1,1
aircrafts_original/1/0482763.jpg,94,1,1
aircrafts_original/1/0980196.jpg,46,1,1
aircrafts_original/1/0995286.jpg,36,1,1
aircrafts_original/1/0065840.jpg,6,1,1
aircrafts_original/1/0523223.jpg,70,1,1
